threshold,summary_floor,chunk_n,merge_n,floor_applied_n,Chunk_num_mean,Text_len_mean,Text_len_std,Summary_len_mean,Summary_len_std,Red_mean,Red_std,FirmRed_mean,FirmRed_std,loss,chunk_n_diff
2200,80,8598,308,388,17.087229588276344,3929.2505233775296,335.9694616538375,135.67038846243312,37.057855042100556,30.61873073686774,7.261350375066291,28.9647397516008,2.1736110626435776,0.08049357203017057,-85
2500,80,8551,355,388,17.003976143141152,3950.8473862706114,361.3499918214562,136.41609168518303,39.0615192492128,30.667233741811348,7.223262250459977,28.9647397516008,2.1736110626435776,0.08052482607783473,-132
1300,70,8732,174,203,17.302565277141547,3868.952817224004,361.56125152600424,133.24255611543748,32.17230103813827,30.69017011350283,8.095052183626937,29.040808110443027,2.2248328693617845,0.08112714254935634,49
2100,80,8614,292,388,17.11585790573485,3921.9521708846064,331.6108099575002,135.41838866960762,36.330181028326805,30.599843951625164,7.2778443687864955,28.9647397516008,2.1736110626435776,0.08279258926584662,-69
1100,60,8761,145,84,17.359091427919186,3856.1461020431457,384.96632435733795,132.6286953544116,31.332272787577164,30.803073711482874,8.695196866297714,29.078609149323935,2.255622972838801,0.08316977570409932,78
1000,0,8772,134,0,17.37140902872777,3851.310533515732,395.10497806304,132.4076607387141,31.119686140582374,30.857850351483346,9.058507018739617,29.089823721294763,2.265208557371326,0.08341110938706996,89
1000,30,8772,134,0,17.37140902872777,3851.310533515732,395.10497806304,132.4076607387141,31.119686140582374,30.857850351483346,9.058507018739617,29.089823721294763,2.265208557371326,0.08341110938706996,89
2000,80,8624,282,388,17.12708719851577,3917.404452690167,329.95161373925765,135.26136363636363,35.8838192647354,30.58803637598426,7.288014167756659,28.9647397516008,2.1736110626435776,0.08393705847908935,-59
1600,80,8699,207,388,17.253822278422806,3883.6298425106334,342.09510780443804,134.09518335440856,32.95345908118495,30.49986573172771,7.383384200841604,28.9647397516008,2.1736110626435776,0.084306707998205,16
1000,50,8772,134,12,17.37140902872777,3851.310533515732,395.10497806304,132.41495668034656,31.099322972891176,30.843705972205285,8.96809049161306,29.088519803420137,2.264135526772826,0.08430801360020626,89
1500,80,8706,200,388,17.262577532736046,3880.5072363886975,345.77513984407284,133.98736503560764,32.73250612065919,30.491132802373148,7.392517156518351,28.9647397516008,2.1736110626435776,0.08472229542030467,23
1900,80,8641,265,388,17.154843189445668,3909.697488716584,329.9156319683448,134.99525517879874,35.20339183840828,30.568541401271908,7.306936112298435,28.9647397516008,2.1736110626435776,0.08481321251532684,-42
1800,80,8659,247,388,17.183854948608385,3901.570158216884,331.2823569327018,134.714632174616,34.546970473156115,30.54848067353855,7.328152563676628,28.9647397516008,2.1736110626435776,0.0851629183605376,-24
1700,80,8679,227,388,17.220532319391634,3892.579329415831,335.40357529928326,134.40419403157046,33.65034832370486,30.522980352511514,7.356115056870832,28.9647397516008,2.1736110626435776,0.08516630981126831,-4
1200,70,8748,158,203,17.33081847279378,3861.8765432098767,373.922188097229,132.99885688157292,31.4355259729196,30.664977634335578,8.123126279762335,29.040808110443027,2.2248328693617845,0.08633523678635631,65
1000,60,8772,134,84,17.37140902872777,3851.310533515732,395.10497806304,132.4623803009576,30.98333428230839,30.785573138459558,8.713859017873178,29.078609149323935,2.255622972838801,0.08720217453615227,89
1400,80,8719,187,388,17.279160454180527,3874.721413006079,352.8900839761363,133.7875903199908,32.151223134327815,30.4721755066858,7.413920681997813,28.9647397516008,2.1736110626435776,0.08789101164319416,36
900,0,8790,116,0,17.397042093287826,3843.423890784983,413.06415699108265,132.13651877133105,30.545482981997967,30.827853360110122,9.089937860078761,29.089823721294763,2.265208557371326,0.09038076420815742,107
900,30,8790,116,0,17.397042093287826,3843.423890784983,413.06415699108265,132.13651877133105,30.545482981997967,30.827853360110122,9.089937860078761,29.089823721294763,2.265208557371326,0.09038076420815742,107
1100,70,8761,145,204,17.359091427919186,3856.1461020431457,384.96632435733795,132.80207738842597,30.95863126117244,30.645117271383366,8.14621356064866,29.04070479428819,2.224922317513484,0.09060476737651882,78
2300,90,8584,322,613,17.06314072693383,3935.65890027959,341.7447238525019,136.48089468779125,36.84102918648097,30.31723203772423,6.543345672887489,28.837658875260615,2.098832202297157,0.09076925738092238,-99
2400,90,8571,335,613,17.041302065103256,3941.628281414071,348.43114825798943,136.68790106171974,37.368617199216445,30.32957881793446,6.531980213526137,28.837658875260615,2.098832202297157,0.09078797404648783,-112
900,50,8790,116,12,17.397042093287826,3843.423890784983,413.06415699108265,132.14379977246872,30.52484395047561,30.813737945431253,8.999975527390683,29.088519803420137,2.264135526772826,0.09127441275618595,107
1300,80,8732,174,388,17.302565277141547,3868.952817224004,361.56125152600424,133.58841044434266,31.543532988339077,30.452499487011536,7.438699469399347,28.9647397516008,2.1736110626435776,0.09151568877633101,49
2200,90,8598,308,613,17.087229588276344,3929.2505233775296,335.9694616538375,136.25866480576877,36.245628391098755,30.303636263255527,6.559477519220636,28.837658875260615,2.098832202297157,0.09322699817422245,-85
